	N1‒UNIF ρ	Chao92 ρ	Jack1 ρ	Chao2sig ρ	Distinct
Universe (Q1)	0.0	0.0	0.0	0.0	1.0
human (Q5)	1.7641262529989193e-07	5.099331075805697e-07	0.08420038577408445	0.04778093128106648	4293881.0
January (Q108)	0.0	0.0	0.0	0.0	252.0
April (Q118)	0.0	0.0	0.0	0.0	249.0
September (Q123)	0.0008909422135646324	0.0008909422135646324	0.002966021636193198	0.0004452066623834071	248.0
October (Q124)	0.011960818148637545	0.011960818148637545	0.006876195552071568	0.0011349130753272386	249.0
dog (Q144)	0.0013122387603254771	0.009033368372246697	0.4589911197832505	0.763947883287895	332.0
sea (Q165)	0.0006651792731881033	0.009702146070903521	0.17094015635771503	0.09356712247489082	163.0
war (Q198)	0.00017082143328658297	0.00208347870683859	0.2839602974035168	0.18316551560901287	869.0
Eurovision Song Contest (Q276)	0.0	0.0	0.0	0.0	66.0
sex (Q290)	0.006305665089162701	0.16066366871275137	0.2813509640235386	0.23604599650506952	7.0
galaxy (Q318)	0.0001255009582917133	0.0001255009582917133	0.015450989368212271	0.0031186973264612492	10338.0
science (Q336)	0.0020934445293901427	0.04239728060668213	0.14232264244908538	0.19048635180877554	64.0
free software (Q341)	6.108835459105386e-05	0.0001603451509484971	0.15540134442771916	0.08319383113483844	2778.0
sport (Q349)	0.002204188381185323	0.026534493386436608	0.3724641314431507	0.7096182951443513	134.0
heritage site (Q358)	0.0011148380483384903	0.0029544227944939645	0.1608593740212143	0.14851612593288677	628.0
poetry (Q482)	0.00029569068438109654	0.00029569068438109654	0.17906208065300042	0.11053611303920854	16416.0
city (Q515)	6.195564465740851e-06	9.935945709839937e-05	0.08463539552363793	0.05963861628068899	11114.0
star (Q523)	0.0002848866007720132	0.0002848866007720132	0.021788508430898718	0.005388773491727488	12588.0
village (Q532)	5.867436877795777e-06	8.894597022177306e-06	0.12583787979799388	0.06840842779450089	300028.0
book (Q571)	4.174476548131961e-06	8.457633924625455e-06	0.29983163384971595	0.09943900206665912	101456.0
year (Q577)	0.0013499204173070246	0.005366025177046348	0.008891205503180365	0.007189444352111199	6507.0
century (Q578)	0.01480679089779859	0.11860133311301044	0.03256393660794371	0.04102715331490466	159.0
horse (Q726)	0.0003576998636176466	0.0003576998636176466	0.14093431914971252	0.056522219215240185	2987.0
comic (Q1004)	0.00030559102341620406	0.00030559102341620406	0.3877763595942797	0.2710482491619442	3507.0
color (Q1075)	0.00027369073589353767	0.006247563416054627	0.4938040525430504	0.3286479086371751	257.0
anime (Q1107)	0.00026096304043165766	0.0007682409274975052	0.10693828241640235	0.04374464985938137	708.0
opera (Q1344)	6.383597888697174e-05	0.00010648746060117065	0.4505477132215428	0.1692448521517232	6012.0
musical (Q2743)	0.0002459772881262141	0.0003053964267789366	0.33562354054127874	0.2030289158759028	1948.0
submarine (Q2811)	0.00012048349340441287	0.0001980885711841163	0.20339221022628529	0.09054694904088269	1898.0
cathedral (Q2977)	0.0002790808554343293	0.0011063543103140732	0.059013914519071106	0.03930058796541371	2779.0
asteroid (Q3863)	7.873034716323277e-06	7.873034716323277e-06	0.19142963420982465	0.07532038482254333	102293.0
solar eclipse (Q3887)	5.35868544744488e-07	5.35868544744488e-07	0.946596861203406	0.0025380021917346444	5714.0
school (Q3914)	3.877918133284176e-05	6.814906007087686e-05	0.389500967625234	0.20835875066444098	19138.0
university (Q3918)	5.739614099559934e-05	0.0006634101390826517	0.07847218679631718	0.1341221381308519	13354.0
supernova (Q3937)	0.17906491548520437	0.17906491548520437	0.0010733285732408204	0.0005455971898412389	5906.0
house (Q3947)	2.0609159605080736e-06	2.06177190678725e-06	0.5795290937731891	0.10321273323248324	110077.0
villa (Q3950)	5.994357896180066e-05	7.980100131301708e-05	0.445090783663568	0.1549045295838481	6552.0
town (Q3957)	5.046441900019452e-05	0.0005333547295230721	0.05112003324934686	0.06480153716410812	12901.0
river (Q4022)	3.317962641619314e-06	4.84753385717466e-06	0.30422684289875745	0.14040576764237736	322576.0
forest (Q4421)	8.82058948478709e-05	8.82058948478709e-05	0.41143933222467854	0.1461964210325229	20551.0
navy (Q4508)	0.0010233629746311732	0.015704623656966114	0.15972162732453077	0.19026316814517497	168.0
hamlet (Q5084)	4.912591399518303e-06	5.393635996721286e-06	0.24183175626095194	0.12220394600062773	119491.0
province of Indonesia (Q5098)	0.0	0.0	0.0	0.0	34.0
continent (Q5107)	0.0	0.0	0.0	0.0	8.0
capital (Q5119)	0.00021206241171290414	0.003572661158160577	0.03792420951524329	0.01708035076116272	357.0
encyclopedia (Q5292)	0.00037149375829509824	0.0038108474797686844	0.50225655532016	0.461695462926936	668.0
rapid transit (Q5503)	0.0020787918688895393	0.006804370268496528	0.033921922593751735	0.014237668490559807	254.0
country (Q6256)	0.0	0.0	0.0	0.0	204.0
nation (Q6266)	0.0033601700657781564	0.09072591500123113	0.2140713856700837	0.27716869324748455	23.0
department of France (Q6465)	0.0	0.0	0.0	0.0	97.0
astronomical body (Q6999)	0.0002514134918635924	0.0002514134918635924	0.6624188387077672	0.16928803762569963	2318.0
library (Q7075)	7.576229502355433e-05	9.675857359630168e-05	0.4642951138683392	0.18628236190844003	7856.0
democracy (Q7174)	0.0	0.0	0.0	0.0	1.0
gene (Q7187)	6.566107067630161e-05	6.566107067630161e-05	0.07902245935714439	0.030672642044349187	43260.0
government (Q7188)	0.0002689067039729001	0.001974808534232955	0.46739929697461013	0.17464259373301888	366.0
Nobel Prize (Q7191)	0.0	0.0	0.0	0.0	6.0
republic (Q7270)	0.0013625930520778096	0.03717207227804914	0.13847742760533538	0.11685611412393726	64.0
state (Q7275)	0.0015749114090555555	0.054783534719382174	0.19137342539087943	0.32480632536583953	62.0
political party (Q7278)	2.07965454557682e-05	0.000132994924139439	0.4006629708509786	0.23677660418777846	15897.0
